ksh_settlement_code,settlement_name
10232,Egyházashetye
10250,Farkasgyepű
10296,Gárdony
10302,Vasboldogasszony
10311,Pusztacsó
10384,Bejcgyertyános
10409,Németbánya
10445,Egyházaskesző
10454,Dunasziget
10481,Bicske
10490,Dorog
10560,Bezi
10579,Sajtoskál
10588,Beled
10597,Rum
10630,Őriszentpéter
10676,Halogy
10782,Boncodfölde
10843,Nick
10870,Doba
10913,Karakó
10931,Hagyárosbörönd
10995,Kerékteleki
11068,Röjtökmuzsaj
11147,Kisrákos
11253,Fertőboz
11262,Kóny
11369,Szakony
11387,Ikervár
11420,Pula
11439,Várpalota
11457,Tényő
11475,Lendvajakabfa
11545,Szentjakabfa
11572,Petőmihályfa
11624,Bodmér
11633,Vasszentmihály
11651,Bögöt
11679,Jánosháza
11703,Vöröstó
11767,Veszprém
11776,Sárszentmihály
11800,Vindornyaszőlős
11855,Pápakovácsi
11891,Héreg
11943,Gyöngyösfalu
12043,Ölbő
12104,Vasszilvágy
12140,Csepreg
12247,Kemenesmagasi
12283,Máriakálnok
12292,Zsennye
12308,Hédervár
12335,Tompaládony
12405,Vámosszabadi
12414,Fertőrákos
12478,Kemenesszentpéter
12496,Zalaistvánd
12575,Lenti
12609,Türje
12627,Sokorópátka
12654,Zalahaláp
12715,Pázmándfalu
12724,Csehimindszent
12742,Ganna
12812,Mezőörs
12955,Nyúl
12964,Püski
13028,Kondorfa
13055,Kissziget
13082,Kozmadombja
13125,Takácsi
13198,Győrladamér
13301,Zalaszentlőrinc
13426,Kemenesmihályfa
13505,Csikvánd
13532,Körmend
13569,Gosztola
13587,Felsőcsatár
13684,Perenye
13897,Vértesboglár
13912,Magyarkeresztúr
13958,Ják
14021,Lukácsháza
14067,Pápoc
14085,Sénye
14155,Tokod
14173,Bánd
14243,Somlóvecse
14261,Táp
14270,Káptalanfa
14298,Ramocsa
14322,Vaspör
14438,Répceszemere
14465,Tabajd
14553,Kapolcs
14669,Pilismarót
14687,Pinnye
14720,Pálfiszeg
14748,Kimle
14757,Noszlop
14793,Rábakecöl
14809,Mersevát
14827,Székesfehérvár
14951,Sukoró
14988,Pecöl
14997,Hegyháthodász
15033,Enese
15060,Nagymizdó
15088,Hetyefő
15112,Kerkafalva
15121,Osli
15228,Győrzámoly
15237,Egyházasfalu
15255,Lábatlan
15273,Rábaszentandrás
15282,Vértessomló
15334,Vasegerszeg
15343,Fertőszentmiklós
15352,Nyergesújfalu
15361,Hajmáskér
15422,Rábatamási
15486,Kiszsidány
15501,Bősárkány
15529,Pér
15547,Pénzesgyőr
15565,Balatonudvari
15653,Győrszemere
15671,Pósfa
15705,Vilonya
15714,Szárföld
15723,Mesteri
15750,Gánt
15778,Barnag
15875,Dunaszentpál
15954,Cirák
15972,Jenő
15990,Daraboshegy
16009,Dötk
16072,Csajág
16081,Kispáli
16142,Külsővat
16151,Dozmat
16212,Tanakajd
16221,Lipót
16319,Völcsej
16364,Kisvásárhely
16416,Császár
16489,Szápár
16504,Szaknyér
16595,Oroszi
16656,Vászoly
16674,Töltéstava
16692,Szőc
16708,Écs
16717,Gic
16832,Kőszeg
16850,Pórszombat
16869,Zsebeháza
16887,Horvátzsidány
16911,Kemeneskápolna
16920,Pusztaapáti
17039,Tagyon
17057,Zalavég
17093,Orfalu
17118,Resznek
17154,Balatonszepezd
17172,Dabronc
17251,Várgesztes
17288,Magyarszecsőd
17297,Rábaszentmiklós
17321,Taliándörögd
17330,Kisbér
17367,Nárai
17437,Jásd
17482,Újbarok
17507,Románd
17516,Gáborjánháza
17525,Polgárdi
17570,Lesencefalu
17613,Gombosszeg
17622,Úrhida
17729,Szarvaskend
17774,Pusztavám
17853,Szilvágy
17871,Lesencetomaj
17880,Vásárosfalu
17905,Hegyeshalom
17969,Gyalóka
17996,Rábatöttös
18032,Hegyhátszentjakab
18157,Tatabánya
18254,Bodajk
18272,Csép
18360,Becsvölgye
18403,Hegykő
18412,Várbalog
18430,Velemér
18485,Mór
18652,Szentgyörgyvölgy
18856,Lókút
18883,Salköveskút
18926,Csolnok
18935,Tarján
18953,Ozmánbük
19035,Tét
19114,Lovasberény
19141,Kamond
19178,Petrikeresztúr
19196,Nagyvázsony
19239,Levél
19266,Szil
19309,Győrsövényház
19336,Veszprémgalsa
19345,Kétvölgy
19479,Kustánszeg
19488,Csehi
19549,Szár
19637,Páli
19673,Újkér
19743,Olaszfa
19752,Nyalka
19761,Kerkáskápolna
19868,Pápadereske
19895,Hernyék
20002,Csákvár
20084,Kemenesszentmárton
20109,Kőszegszerdahely
20127,Tata
20136,Rábasebes
20154,Dáka
20163,Naszály
20206,Seregélyes
20251,Csehbánya
20288,Egyed
20312,Kiskutas
20349,Vashosszúfalu
20367,Pornóapáti
20385,Mérges
20394,Vasasszonyfa
20400,Gyömöre
20437,Magyarpolány
20543,Szalapa
20570,Tés
20604,Ikrény
20695,Döbörhegy
20756,Hidegkút
20792,Und
20826,Zánka
20880,Hosszúpereszteg
20923,Kisigmánd
20932,Szakonyfalu
20950,Belsősárd
20987,Tárkány
20996,Kemenespálfa
21005,Tordas
21050,Pókaszepetk
21078,Dunaszeg
21175,Balatonfüred
21254,Szentpéterfa
21306,Sárvár
21342,Kajászó
21397,Sümegcsehi
21403,Nagypirit
21421,Szomor
21430,Veszprémfajsz
21500,Kálócfa
21537,Uraiújfalu
21607,Pápasalamon
21759,Nemesszalók
21777,Vanyola
21786,Pázmánd
21801,Ravazd
21838,Hegyhátszentmárton
21865,Darnózseli
21874,Piliscsév
21908,Csókakő
21926,Kápolnásnyék
21962,Lesenceistvánd
21971,Tápszentmiklós
21980,Mihályi
22062,Bakonypéterd
22080,Kerkakutas
22141,Mikekarácsonyfa
22178,Nagykutas
22220,Marcaltő
22372,Nagyigmánd
22381,Bakonyszombathely
22390,Csönge
22442,Edve
22451,Pécsely
22497,Ormándlak
22512,Monoszló
22637,Máriahalom
22691,Veszprémvarsány
22716,Kemestaródfa
22813,Bakonyszentkirály
22831,Petőháza
22877,Böde
22886,Kisbajcs
22901,Béb
22910,Dág
23001,Kisszőlős
23010,Ukk
23108,Pankasz
23180,Nagyesztergár
23287,Felsőszölnök
23320,Nemescsó
23375,Hidegség
23436,Csatár
23481,Pásztori
23515,Porva
23551,Nagyacsád
23560,Mezőlak
23588,Nagyveleg
23597,Zalaszegvár
23603,Ercsi
23658,Herend
23700,Kiscsősz
23773,Pereszteg
23816,Csempeszkopács
23834,Zalaháshágy
23843,Gyóró
23861,Rátót
23913,Óbudavár
23922,Bakonyszentiván
24004,Nyirád
24040,Monostorapáti
24059,Nemeskolta
24068,Ősi
24101,Dunaszentmiklós
24129,Bakonytamási
24183,Gencsapáti
24208,Sobor
24271,Pakod
24280,Zalabér
24305,Pannonhalma
24484,Kemenessömjén
24633,Koroncó
24642,Csesznek
24651,Vinár
24721,Rábapordány
24767,Ugod
24800,Söpte
24837,Nagytilaj
24864,Batyk
24891,Szigliget
25016,Velence
25131,Esztergom
25201,Nagytevel
25229,Bakonysárkány
25308,Balatonakali
25335,Rábapatona
25353,Kemendollár
25414,Németfalu
25423,Magyarszombatfa
25450,Öskü
25487,Leányvár
25566,Hárskút
25584,Győr
25593,Sümeg
25654,Kerta
25715,Moha
25724,Sopronkövesd
25751,Pákozd
25760,Meggyeskovácsi
25779,Somlószőlős
25797,Vitnyéd
25803,Hegymagas
25849,Rigács
25858,Köveskál
25982,Vassurány
25991,Bakonynána
26000,Velem
26037,Kékkút
26046,Kőszegpaty
26064,Csipkerek
26143,Nagysimonyi
26152,Gérce
26161,Szijártóháza
26204,Várkesző
26240,Nemesládony
26347,Ebergőc
26374,Magyargencs
26417,Bakonyszücs
26426,Vép
26444,Maglóca
26499,Zirc
26514,Olaszfalu
26523,Nóráp
26541,Kup
26569,Somlóvásárhely
26587,Rajka
26596,Kercaszomor
26620,Katafa
26648,Vaszar
26736,Rábagyarmat
26763,Simaság
26772,Csánig
26790,Halászi
26806,Rönök
26860,Gyarmat
26903,Sárisáp
26930,Mocsa
27058,Békás
27076,Nagysáp
27085,Cakóháza
27094,Celldömölk
27137,Mencshely
27289,Magyarnádalja
27304,Potyond
27359,Mecsér
27447,Barlahida
27483,Lendvadedes
27492,Csöde
27562,Zalaszombatfa
27599,Nadap
27632,Úny
27678,Magyaralmás
27720,Salomvár
27793,Szergény
27818,Homokbödöge
27960,Sorkikápolna
27979,Nagyalásony
27997,Szemenye
28015,Iszkáz
28112,Öcs
28149,Mosonszolnok
28237,Dabrony
28255,Mogyorósbánya
28325,Hottó
28334,Kapuvár
28422,Nemesvita
28468,Nagypáli
28495,Zalaboldogfa
28501,Balatonszőlős
28626,Répceszentgyörgy
28671,Gyepükaján
28705,Szabadbattyán
28796,Egervölgy
28848,Pátka
28972,Pusztamiske
28990,Kisláng
29009,Nyárád
29072,Kisberzseny
29081,Lócs
29090,Sopronhorpács
29203,Boba
29221,Jánossomorja
29267,Tác
29294,Marcalgergelyi
29328,Nemeskér
29364,Csömödér
29434,Tapolca
29452,Halastó
29461,Balatonfőkajár
29470,Döbrönte
29489,Kerkabarabás
29504,Iklanberény
29568,Telekes
29577,Kesztölc
29629,Vértestolna
29638,Epöl
29692,Sorokpolány
29805,Bezenye
29841,Felsőmarác
29869,Nagyrákos
29878,Torony
29896,Porpác
29902,Bakonyság
29957,Káld
29993,Zalaerdőd
30012,Réde
30173,Kislőd
30182,Kolontár
30191,Csér
30216,Hegyhátsál
30225,Tardos
30243,Zámoly
30252,Borzavár
30410,Bakonyoszlop
30429,Egyházashollós
30465,Tihany
30544,Csabdi
30553,Környe
30599,Mikosszéplak
30650,Kőszárhegy
30678,Fenyőfő
30702,Vaskeresztes
30748,Sitke
30766,Oroszlány
30793,Salföld
30872,Megyehíd
30881,Répcelak
30890,Felsőszenterzsébet
30906,Gasztony
30924,Csabrendek
30942,Gersekarát
31051,Vámoscsalád
31103,Balinka
31149,Csonkahegyhát
31255,Pápateszér
31264,Vértesszőlős
31316,Győrság
31370,Pusztacsalád
31422,Bana
31440,Fertőszéplak
31556,Nemesmedves
31583,Szentgotthárd
31592,Rédics
31626,Kunsziget
31635,Iván
31680,Ivánc
31699,Csetény
31787,Győrújfalu
31802,Sárkeresztes
31839,Újrónafő
31875,Mesterháza
31945,Pápa
31981,Márokföld
32018,Iszkaszentgyörgy
32036,Keléd
32045,Táplánszentkereszt
32054,Zalaegerszeg
32063,Kávás
32124,Bérbaltavár
32188,Hegyfalu
32203,Fehérvárcsurgó
32212,Márkó
32221,Külsősárd
32276,Devecser
32522,Zalaszentgrót
32586,Vérteskethely
32595,Dénesfa
32629,Ostffyasszonyfa
32665,Nemesnép
32708,Dobronhegy
32717,Feketeerdő
32814,Csögle
32832,Meszlen
32878,Csót
32920,Nagykölked
32939,Nagylózs
32984,Bucsu
33039,Zalameggyes
33109,Csatka
33127,Berhida
33136,Zalaszentgyörgy
33163,Dad
33172,Szeleste
33251,Felpéc
33321,Soponya
33428,Egervár
33491,Szárliget
33516,Szákszend
33640,Csém
33668,Lébény
33677,Mosonszentmiklós
33695,Kisfalud
33701,Rábacsécsény
33710,Rábaszentmihály
33792,Lakhegy
33826,Neszmély
33835,Dunaalmás
33844,Balatonrendes
33871,Egeralja
33914,Tarjánpuszta
33941,Eplény
33950,Bőny
33969,Rétalap
33996,Farád
34023,Tokodaltáró
34087,Tormásliget
34218,Uzsa
34254,Pétfürdő
