evidence_id,cohort_id,coverage_id,source_role,installation_status,residential_scope,heating_system_scope,manufacturer,product_family,type_size_token,emitter_family,quantity,dwelling_count_scope,source_url,source_locator,source_date,hybrid_floor_heating_present,current_installed_stock_claimed,pre_retrofit_stock_claimed,national_p42_authority_claimed,programme_use_claimed,notes
P52-SZOVA-1-4-11,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,DELLA,DELLA-1100x600,TOWEL_RADIATOR,4,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / item 2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate towel-radiator schedule for dwellings 1-4."
P52-SZOVA-5-01,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_5,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-800,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_1%20%20Gepesz%20%205_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.3",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 5 exact schedule."
P52-SZOVA-5-02,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_5,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-920,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_1%20%20Gepesz%20%205_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.4",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 5 exact schedule."
P52-SZOVA-5-03,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_5,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-1000,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_1%20%20Gepesz%20%205_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.5",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 5 exact schedule."
P52-SZOVA-5-04,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_5,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-1120,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_1%20%20Gepesz%20%205_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.6",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 5 exact schedule."
P52-SZOVA-5-05,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_5,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,DELLA,DELLA-1100x600,TOWEL_RADIATOR,1,1,https://www.szova.hu/editor_up/3_1%20%20Gepesz%20%205_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.7",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 5 exact schedule."
P52-SZOVA-6-01,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_6,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,11KV-600-400,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_2%20%20Gepesz%20%206_sz_%20lakas%202%20uetem.pdf,"PDF p4 / item 2.3",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 6 exact schedule."
P52-SZOVA-6-02,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_6,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-520,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_2%20%20Gepesz%20%206_sz_%20lakas%202%20uetem.pdf,"PDF p4 / item 2.4",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 6 exact schedule."
P52-SZOVA-6-03,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_6,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-600,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_2%20%20Gepesz%20%206_sz_%20lakas%202%20uetem.pdf,"PDF p4 / item 2.5",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 6 exact schedule."
P52-SZOVA-6-04,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_6,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-920,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_2%20%20Gepesz%20%206_sz_%20lakas%202%20uetem.pdf,"PDF p4 / item 2.6",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 6 exact schedule."
P52-SZOVA-6-05,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_6,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-1120,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_2%20%20Gepesz%20%206_sz_%20lakas%202%20uetem.pdf,"PDF p4 / item 2.7",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 6 exact schedule."
P52-SZOVA-6-06,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_6,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,DELLA,DELLA-1100x600,TOWEL_RADIATOR,1,1,https://www.szova.hu/editor_up/3_2%20%20Gepesz%20%206_sz_%20lakas%202%20uetem.pdf,"PDF p4 / item 2.8",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 6 exact schedule."
P52-SZOVA-7-01,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_7,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,11KV-600-400,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_3%20%20Gepesz%207_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.3",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 7 exact schedule."
P52-SZOVA-7-02,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_7,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-800,PANEL_STEEL,2,1,https://www.szova.hu/editor_up/3_3%20%20Gepesz%207_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.4",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 7 exact schedule."
P52-SZOVA-7-03,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_7,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-920,PANEL_STEEL,1,1,https://www.szova.hu/editor_up/3_3%20%20Gepesz%207_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.5",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 7 exact schedule."
P52-SZOVA-7-04,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_7,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-1000,PANEL_STEEL,2,1,https://www.szova.hu/editor_up/3_3%20%20Gepesz%207_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.6",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 7 exact schedule."
P52-SZOVA-7-05,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_7,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,DELLA,DELLA-1100x600,TOWEL_RADIATOR,2,1,https://www.szova.hu/editor_up/3_3%20%20Gepesz%207_sz_%20lakas%202%20uetem.pdf,"PDF p5 / item 2.7",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 7 exact schedule."
P52-SZOVA-8-01,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_8,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-520,PANEL_STEEL,1,1,https://szova.hu/editor_up/3_4%20%20Gepesz%20%208_sz%20lakas%202%20uetem%281%29.pdf,"PDF central-heating table / item 2.3",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 8 exact schedule."
P52-SZOVA-8-02,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_8,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-720,PANEL_STEEL,1,1,https://szova.hu/editor_up/3_4%20%20Gepesz%20%208_sz%20lakas%202%20uetem%281%29.pdf,"PDF central-heating table / item 2.4",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 8 exact schedule."
P52-SZOVA-8-03,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_8,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-800,PANEL_STEEL,1,1,https://szova.hu/editor_up/3_4%20%20Gepesz%20%208_sz%20lakas%202%20uetem%281%29.pdf,"PDF central-heating table / item 2.5",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 8 exact schedule."
P52-SZOVA-8-04,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_8,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-1000,PANEL_STEEL,1,1,https://szova.hu/editor_up/3_4%20%20Gepesz%20%208_sz%20lakas%202%20uetem%281%29.pdf,"PDF central-heating table / item 2.6",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 8 exact schedule."
P52-SZOVA-8-05,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_8,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-1120,PANEL_STEEL,1,1,https://szova.hu/editor_up/3_4%20%20Gepesz%20%208_sz%20lakas%202%20uetem%281%29.pdf,"PDF central-heating table / item 2.7",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 8 exact schedule."
P52-SZOVA-8-06,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLING_8,RESIDENTIAL_DWELLING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,DELLA,DELLA-1100x600,TOWEL_RADIATOR,1,1,https://szova.hu/editor_up/3_4%20%20Gepesz%20%208_sz%20lakas%202%20uetem%281%29.pdf,"PDF central-heating table / item 2.8",2017-06-22,YES,NO,NO,NO,NO,"Dwelling 8 exact schedule."
