source_token,source_occurrence_count,residual_class,admission_status
Ongaújfalu (Onga),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Pálosvörösmart (Abasár),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Parádfürdő (Parád),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Parádóhuta (Parád),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Parasapuszta (Hont),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Pereces (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Portelek (Jászberény),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Pösténypuszta (Szécsény),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Pusztaszántó (Rétság),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Ráróspuszta (Nógrádszakál),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Rauakna (Etes),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Rudabányácska (Sátoraljaújhely),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Sajóvárkony (Ózd),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Salgóbánya (Salgótarján),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Selyp (Lőrinci),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Somoskő (Salgótarján),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Somsálybánya (Ózd),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Susa (Ózd),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Szandaváralja (Szanda),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Szanticska (Abaújlak),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Szederkénypuszta (Istenmezeje),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Szentkút (Mátraverebély),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Szentsimon (Ózd),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Széphalom (Sátoraljaújhely),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Szirma (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Szorospatak (Bátonyterenye),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Szupatak (Bátonyterenye),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Tapolca (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Tiszaszederkény (Tiszaújváros),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Tótújfalupuszta (Cered),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Újdiósgyőr (Miskolc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Újharangod (Gesztely),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Újkóvár (Balassagyarmat),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Uraj (Ózd),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Zagyvapálfalva (Salgótarján),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Zagyvaróna (Salgótarján),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
Zsunypuszta (Nagylóc),1,PARENTHESIZED_PARENT_CONTEXT,UNRESOLVED_USAGE_LOCATION_REQUIRED
