settlement_name,mvm_partial_source_id,counterpart_operator_id,counterpart_source_id,counterpart_source_token,counterpart_grain,p61_authority_status,notes
Solt,SRC-B10-MVM-DEMASZ-M1-2026,,,,,NO_CURRENT_COUNTERPART_TOKEN_DISCOVERED_IN_TARGETED_P61_SCAN,"No exact current counterpart source token was found in the P61 targeted ELMŰ/OPUS TITÁSZ/DDÁSZ current-M1 scan; this is not a national negative boundary claim."
Szeghalom,SRC-B10-MVM-DEMASZ-M1-2026,OPUS_TITASZ,SRC-B10-OPUS-TITASZ-M1-2026,Szeghalom,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current OPUS TITÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Szentes,SRC-B10-MVM-DEMASZ-M1-2026,,,,,NO_CURRENT_COUNTERPART_TOKEN_DISCOVERED_IN_TARGETED_P61_SCAN,"No exact current counterpart source token was found in the P61 targeted ELMŰ/OPUS TITÁSZ/DDÁSZ current-M1 scan; this is not a national negative boundary claim."
Tápiószőlős,SRC-B10-MVM-DEMASZ-M1-2026,,,,,NO_CURRENT_COUNTERPART_TOKEN_DISCOVERED_IN_TARGETED_P61_SCAN,"No exact current counterpart source token was found in the P61 targeted ELMŰ/OPUS TITÁSZ/DDÁSZ current-M1 scan; this is not a national negative boundary claim."
Tass,SRC-B10-MVM-DEMASZ-M1-2026,ELMU,SRC-B10-ELMU-M1-CANDIDATE-2025,Tass üdülőterület,NAMED_TERRITORIAL_SUBSET,ELMU_NAMED_USAGE_LOCATION_MEMBERSHIP_PROVEN,"Historical regulatory licence identifies `Tass üdülőterület` as an ELMŰ territorial-jurisdiction unit and current ELMŰ M1 repeats the exact named unit. Only that named usage-location is resolved; the complementary Tass area is not inferred."
Tiszakécske,SRC-B10-MVM-DEMASZ-M1-2026,OPUS_TITASZ,SRC-B10-OPUS-TITASZ-M1-2026,Tiszakécske,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current OPUS TITÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Tiszasas,SRC-B10-MVM-DEMASZ-M1-2026,OPUS_TITASZ,SRC-B10-OPUS-TITASZ-M1-2026,Tiszasas,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current OPUS TITÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Tiszaug,SRC-B10-MVM-DEMASZ-M1-2026,OPUS_TITASZ,SRC-B10-OPUS-TITASZ-M1-2026,Tiszaug,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current OPUS TITÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Újhartyán,SRC-B10-MVM-DEMASZ-M1-2026,ELMU,SRC-B10-ELMU-M1-CANDIDATE-2025,Újhartyán,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current ELMŰ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Zsadány,SRC-B10-MVM-DEMASZ-M1-2026,OPUS_TITASZ,SRC-B10-OPUS-TITASZ-M1-2026,Zsadány,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current OPUS TITÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
