row_id,row_role,reference_period,scope,radiator_family,material,connection_distance_mm,section_or_element_count,length_mm,nominal_output_w,output_basis,output_w_78_62_20,output_w_55_45_20,observed_unit_count,heating_surface_m2,magnitude_precision,manufacturer_interchangeable_with_radal,residential_stock_weight_allowed,exact_replacement_selection_authorized,p42_national_authority,source_url,exact_locator,notes
VIKING600_E11,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,11,787,,,1315,673,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 11 elements; L787; 1315 W at 78/62/20; 673 W at 55/45/20","Current product performance reference."
VIKING600_E12,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,12,862,,,1445,740,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 12 elements; L862; 1445 W at 78/62/20; 740 W at 55/45/20","Current product performance reference."
VIKING600_E13,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,13,937,,,1574,806,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 13 elements; L937; 1574 W at 78/62/20; 806 W at 55/45/20","Current product performance reference."
VIKING600_E14,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,14,1012,,,1704,873,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 14 elements; L1012; 1704 W at 78/62/20; 873 W at 55/45/20","Current product performance reference."
VIKING600_E15,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,15,1087,,,1833,939,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 15 elements; L1087; 1833 W at 78/62/20; 939 W at 55/45/20","Current product performance reference."
VIKING600_E16,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,16,1162,,,1962,1005,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 16 elements; L1162; 1962 W at 78/62/20; 1005 W at 55/45/20","Current product performance reference."
VIKING600_E17,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,17,1237,,,2091,1071,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 17 elements; L1237; 2091 W at 78/62/20; 1071 W at 55/45/20","Current product performance reference."
VIKING600_E18,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,18,1312,,,2219,1137,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 18 elements; L1312; 2219 W at 78/62/20; 1137 W at 55/45/20","Current product performance reference."
VIKING600_E19,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,19,1387,,,2348,1202,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 19 elements; L1387; 2348 W at 78/62/20; 1202 W at 55/45/20","Current product performance reference."
VIKING600_E20,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,20,1462,,,2476,1268,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 20 elements; L1462; 2476 W at 78/62/20; 1268 W at 55/45/20","Current product performance reference."
VIKING600_E21,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,21,1537,,,2603,1333,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 21 elements; L1537; 2603 W at 78/62/20; 1333 W at 55/45/20","Current product performance reference."
VIKING600_E22,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,22,1612,,,2730,1398,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 22 elements; L1612; 2730 W at 78/62/20; 1398 W at 55/45/20","Current product performance reference."
VIKING600_E23,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,23,1687,,,2858,1464,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 23 elements; L1687; 2858 W at 78/62/20; 1464 W at 55/45/20","Current product performance reference."
VIKING600_E24,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,24,1762,,,2984,1528,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 24 elements; L1762; 2984 W at 78/62/20; 1528 W at 55/45/20","Current product performance reference."
VIKING600_E25,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,25,1837,,,3111,1593,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 25 elements; L1837; 3111 W at 78/62/20; 1593 W at 55/45/20","Current product performance reference."
