source_token,source_occurrence_count,residual_class
Ibafa - Korpád,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Igar - Vámiszőlőhegy,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Jánosmajor,1,STANDALONE_NONEXACT_SOURCE_FORM
Jegenyés puszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Józsefhegy,1,STANDALONE_NONEXACT_SOURCE_FORM
Júlia major,1,STANDALONE_NONEXACT_SOURCE_FORM
Kajmádpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Kakasd - Széptölgyes,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Kámáncspuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Kán,1,STANDALONE_NONEXACT_SOURCE_FORM
Kanacspuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Kapoly- puszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Kaposvár - Kaposfüred,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Kaposvár - Toponár,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Kaposvár - Töröcske,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Karácodfa,1,STANDALONE_NONEXACT_SOURCE_FORM
Karászpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Kastényosdombó,1,STANDALONE_NONEXACT_SOURCE_FORM
Katalinpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Kemse - Zehipuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Képespuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Kerkaszentkirály - Margitmajor,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Kétújfalu - Szentmihályfa pta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Kisberki,1,STANDALONE_NONEXACT_SOURCE_FORM
Kisfakos,1,STANDALONE_NONEXACT_SOURCE_FORM
Kishárságy,1,STANDALONE_NONEXACT_SOURCE_FORM
Kishídja,1,STANDALONE_NONEXACT_SOURCE_FORM
Kiskajdacs,1,STANDALONE_NONEXACT_SOURCE_FORM
Kismórágy,1,STANDALONE_NONEXACT_SOURCE_FORM
Kispart,1,STANDALONE_NONEXACT_SOURCE_FORM
Kisszentmiklós,1,STANDALONE_NONEXACT_SOURCE_FORM
Kistabod,1,STANDALONE_NONEXACT_SOURCE_FORM
Kisújbánya,1,STANDALONE_NONEXACT_SOURCE_FORM
Komló - Kisbattyán,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Komló - Zobákpuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Korpavár,1,STANDALONE_NONEXACT_SOURCE_FORM
Kőkút - Alsótapazd,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Kőkút - Gyöngyöspuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Kölesd - Borjád,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Körcsönyepuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Kővágószőlős - Golgota,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Kövesd- puszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Középbogárd,1,STANDALONE_NONEXACT_SOURCE_FORM
Középhídvég,1,STANDALONE_NONEXACT_SOURCE_FORM
Kuntelep,1,STANDALONE_NONEXACT_SOURCE_FORM
Kutfej,1,STANDALONE_NONEXACT_SOURCE_FORM
Kürtöspuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Ladomány,1,STANDALONE_NONEXACT_SOURCE_FORM
Lajosháza,1,STANDALONE_NONEXACT_SOURCE_FORM
Lajvérpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Lankóc,1,STANDALONE_NONEXACT_SOURCE_FORM
Lasztonya - Kámaháza,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Leshegy,1,STANDALONE_NONEXACT_SOURCE_FORM
Letenye - Egyeduta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Lórántháza,1,STANDALONE_NONEXACT_SOURCE_FORM
Magyaratád - Rácegrespuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Majlátpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Majos,1,STANDALONE_NONEXACT_SOURCE_FORM
Majsapuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Makktelep,1,STANDALONE_NONEXACT_SOURCE_FORM
Máriagyűd,1,STANDALONE_NONEXACT_SOURCE_FORM
Marietta puszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Matty - Keselyösfapuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Mecsekszakál,1,STANDALONE_NONEXACT_SOURCE_FORM
Merenye - Ceglédpuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Mernye - Mernyeszentmiklós,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Mihálydomb,1,STANDALONE_NONEXACT_SOURCE_FORM
Miklósfa,1,STANDALONE_NONEXACT_SOURCE_FORM
Molványhid,1,STANDALONE_NONEXACT_SOURCE_FORM
Monosokor,1,STANDALONE_NONEXACT_SOURCE_FORM
Morgánypuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Mozsgó- Mozsgó szőlőhegy- Jedinka,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Mözs,1,STANDALONE_NONEXACT_SOURCE_FORM
Muraszemenye - Aligvármajor,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Muraszemenye - Alsószemenye,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Muraszemenye - Csernec,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Nagyatád - Kivadár,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Nagyberekpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Nagydalos,1,STANDALONE_NONEXACT_SOURCE_FORM
Nagykanizsa - Kiskanizsa,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Nagykónyi - Medgyespuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Nagymáté,1,STANDALONE_NONEXACT_SOURCE_FORM
Nagypáltelep,1,STANDALONE_NONEXACT_SOURCE_FORM
Nagytormás,1,STANDALONE_NONEXACT_SOURCE_FORM
Náprádfa,1,STANDALONE_NONEXACT_SOURCE_FORM
Nemesboldogasszonyfa,1,STANDALONE_NONEXACT_SOURCE_FORM
Nemesszer,1,STANDALONE_NONEXACT_SOURCE_FORM
Nemesvid - Kisvid,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Németi,1,STANDALONE_NONEXACT_SOURCE_FORM
Obornak,1,STANDALONE_NONEXACT_SOURCE_FORM
Okrád pta,1,STANDALONE_NONEXACT_SOURCE_FORM
Old - Eperjespuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Old - Tótokföldje,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Ormándpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Ozora - Döbrönteszőlőhegy,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Örvényeshegy,1,STANDALONE_NONEXACT_SOURCE_FORM
Pacsa - Andorháza,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Pacsatüttős,1,STANDALONE_NONEXACT_SOURCE_FORM
Pálhalma,1,STANDALONE_NONEXACT_SOURCE_FORM
Palin,1,STANDALONE_NONEXACT_SOURCE_FORM
Pázdány,1,STANDALONE_NONEXACT_SOURCE_FORM
Pécs- Hird,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Pécs-Szikuti d.,1,COMPACT_HYPHENATED_SOURCE_FORM
Pécs-Vasas,1,COMPACT_HYPHENATED_SOURCE_FORM
Péterfapuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Petrócpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Pölöske - Barnakpuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Pusztaberény,1,STANDALONE_NONEXACT_SOURCE_FORM
Pusztaegres,1,STANDALONE_NONEXACT_SOURCE_FORM
Pusztakisfalu,1,STANDALONE_NONEXACT_SOURCE_FORM
Pusztaszentgyörgy,1,STANDALONE_NONEXACT_SOURCE_FORM
Püspökszentlászló,1,STANDALONE_NONEXACT_SOURCE_FORM
Rácegres,1,STANDALONE_NONEXACT_SOURCE_FORM
Rádiháza,1,STANDALONE_NONEXACT_SOURCE_FORM
Rétszilas,1,STANDALONE_NONEXACT_SOURCE_FORM
Révfalu,1,STANDALONE_NONEXACT_SOURCE_FORM
Rudolfmajor,1,STANDALONE_NONEXACT_SOURCE_FORM
Sárbogárd - Alsótöbörzsök,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Sárbogárd - Sárszentmiklós,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Sárhatvan,1,STANDALONE_NONEXACT_SOURCE_FORM
Sérsekszőllős,1,STANDALONE_NONEXACT_SOURCE_FORM
Sikonda fürdő,1,STANDALONE_NONEXACT_SOURCE_FORM
Som - Daránypuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Somogyacsa - Gerézdpuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Somogyapáti - Adorján,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Somogyaszaló - Antalmajor,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Somogybabod - Kisbabod,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Somogysámson - Marótpuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Somogysárd - Sörnyepuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Somogyszentpál - Kisperjés,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Somogytarnóca,1,STANDALONE_NONEXACT_SOURCE_FORM
Somogyvár - Vityapuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Söjtör-barátipuszta,1,COMPACT_HYPHENATED_SOURCE_FORM
Söjtör-Szénásvölgy,1,COMPACT_HYPHENATED_SOURCE_FORM
Szabadságmajor,1,STANDALONE_NONEXACT_SOURCE_FORM
Szatina,1,STANDALONE_NONEXACT_SOURCE_FORM
Szénáspuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Szentgáloskér - Lapapuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Szentlászló - Szentegyed - Riticspuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Szentmihályhegy,1,STANDALONE_NONEXACT_SOURCE_FORM
Szigetvár - Zsibót,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Szőcsénypuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Szőlőskislak,1,STANDALONE_NONEXACT_SOURCE_FORM
Tabód,1,STANDALONE_NONEXACT_SOURCE_FORM
Tabódszerdahely,1,STANDALONE_NONEXACT_SOURCE_FORM
Takácshegy,1,STANDALONE_NONEXACT_SOURCE_FORM
Tamási - Öreghenye,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Tamási - Tuskós,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Tamási - Várhegy,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Tekeres,1,STANDALONE_NONEXACT_SOURCE_FORM
Tengelic - Szőlőhegy,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Terebezdpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Terecseny,1,STANDALONE_NONEXACT_SOURCE_FORM
Terehegy,1,STANDALONE_NONEXACT_SOURCE_FORM
Tilajujhegy,1,STANDALONE_NONEXACT_SOURCE_FORM
Töreki,1,STANDALONE_NONEXACT_SOURCE_FORM
Ujberek puszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Uzd,1,STANDALONE_NONEXACT_SOURCE_FORM
Üszögpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Vajszló - Angyalóc,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Vakola,1,STANDALONE_NONEXACT_SOURCE_FORM
Válicka puszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Várad - Váradújpuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Vásárosdombó - Ódombó,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Veránka sziget,1,STANDALONE_NONEXACT_SOURCE_FORM
Vetlepuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Villány - Virágos,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Vitézi puszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Vörrü,1,STANDALONE_NONEXACT_SOURCE_FORM
Zákánytelep,1,STANDALONE_NONEXACT_SOURCE_FORM
Zalakoppány,1,STANDALONE_NONEXACT_SOURCE_FORM
Zalaköszvényes,1,STANDALONE_NONEXACT_SOURCE_FORM
Zalamernye,1,STANDALONE_NONEXACT_SOURCE_FORM
Zalatárnok - Oroklán,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Zrinyitelep,1,STANDALONE_NONEXACT_SOURCE_FORM
Zsibrik,1,STANDALONE_NONEXACT_SOURCE_FORM
Zsigárd,1,STANDALONE_NONEXACT_SOURCE_FORM
