scope_id,county_code,source_dataset_id,source_flow,source_version,source_grain,joint_record_count,joint_dwelling_count,independent_total_dwelling_count,delta,joint_response_bytes,joint_response_sha256,total_response_bytes,total_response_sha256,evidence_status,materialization_status,retrieved_at_utc,notes
COUNTY-HU233,HU233,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,4901,87986,87986,0,1151945,65abf38c790dd93eaedf94b5095d37fb9f7c52915c604f166cf5ab88bc3b950a,230,d48e7cbd95c7f6f96a34a18548c2f5388dbfe109c12927445b26060288b778e8,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU311,HU311,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,7521,249031,249031,0,1767644,df3b8af854d6769acc1d4b9f4bf87e65b4a67b3530c2359ace783eb4cdf3d1aa,231,d63c8e3f06cc43cf62b06c5dfd058fe7c9f9ea4dbe75762d4f7fb92cc0eb763a,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU312,HU312,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,5500,118784,118784,0,1292126,32532e71505ed7a5719cf3683d26f93d7c610768aec84783ec109cd6b62ba22b,231,e3860ca3ad8d6c7e071ad5ac7ba2e3ffcb5db51593ec84bea5dff4e4f32fd9c9,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU313,HU313,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,4545,75519,75519,0,1068115,990e8a34d174ab58021e509fe086c96462a7d79e121cfa266cb09f218b2f5a45,230,f0c9a7dd2f113d54200301d7d6c40b9dbea464d99b58c3ebce865b9bb6b46bfb,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU321,HU321,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,6757,210805,210805,0,1589026,7103f888b1dd0f781d2287c89f98a03eecb59000a8d97f07e6e929e7a5f0f02d,231,24a909d7e6baf734e793f21a1dfb06823036f7ac125df3514880ba843c92164a,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU322,HU322,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,6169,150641,150641,0,1449837,2fa2469fec10086f9e45e2178b268878e87fdf68dd08bd702ac100823fffad65,231,e9cdbdce3d60805f417a3e2a27b30d335de407365c941d0cfa9d9cf7eb51caad,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU323,HU323,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,6348,200121,200121,0,1492627,8ee80dae4e59271bf47f0e7f3f70eda26258f199fb44580257afda5c80b0d176,231,14fbc0c99ec911129e3cd37709d9d15da17ee1b95f9fd4153cda71d81d1dfba0,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU331,HU331,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,7550,210884,210884,0,1775444,5922f800f459348bf26002e46e830eec60c811404766a19c1c10517ea279ca0d,231,aaeee8de0987ad11e817dae5f464036d17fe3b6682bf4791aa1e7b7f0636a7e8,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU332,HU332,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,5961,139639,139639,0,1402047,1ede7455177a68417b07c56bd3924c0d3c111fd84ab6a3afd74cc0681128828c,231,e384d5a1f44e78b21ab59c609faed6f141abf017ad2fed376d9320a2eade491d,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU333,HU333,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,6741,169772,169772,0,1585290,6aeb97578faae42a75ac583763d1324dc98fb3854fdcb94c44bb4437739e6953,231,653a38039d0271b5be4ee87efb0a3b33fd6d89c88b587039ed7aa53b9c88ac50,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
NATIONAL,HU,DATA-B02-KSH-WBL011,WBL011,V67,twenty_county_sum_of_source_native_full_joint,116452,4008541,4008541,0,27375751,,4618,,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,National row is exact sum of the 20 hashed county responses; no synthetic cell cross-join and no national payload hash is asserted.
