weather_profile_id,station_id,equipment_id,supply_temperature_C,performance_domain_min_Tout_C,performance_domain_max_Tout_C,weather_hours_total,weather_hours_inside_domain,weather_hours_below_domain,weather_hours_above_domain,coverage_share,coldest_uncovered_Tout_C,status,source_id,notes
B05-REF-OBS-2025-44527,44527,STIEBEL-HPA-O-8-CS-PLUS-INT,45,-7,7,8760,2852,9,5899,0.325571,-8,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-44527,44527,STIEBEL-HPA-O-8-CS-PLUS-INT,55,,,8760,,,,,-8,Q,,No continuous HPA-O 8 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-REF-OBS-2025-58102,58102,STIEBEL-HPA-O-4-CS-PLUS-INT,35,-15,7,8760,2526,0,6234,0.288356,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-58102,58102,STIEBEL-HPA-O-4-CS-PLUS-INT,45,-7,7,8760,2526,0,6234,0.288356,7.1,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-58102,58102,STIEBEL-HPA-O-4-CS-PLUS-INT,55,,,8760,,,,,-4.6,Q,,No continuous HPA-O 4 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-REF-OBS-2025-58102,58102,STIEBEL-HPA-O-8-CS-PLUS-INT,35,-15,7,8760,2526,0,6234,0.288356,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-58102,58102,STIEBEL-HPA-O-8-CS-PLUS-INT,45,-7,7,8760,2526,0,6234,0.288356,7.1,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-58102,58102,STIEBEL-HPA-O-8-CS-PLUS-INT,55,,,8760,,,,,-4.6,Q,,No continuous HPA-O 8 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-REF-OBS-2025-46304,46304,STIEBEL-HPA-O-4-CS-PLUS-INT,35,-15,7,8760,3113,0,5647,0.355365,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-46304,46304,STIEBEL-HPA-O-4-CS-PLUS-INT,45,-7,7,8760,3040,73,5647,0.347032,-12.5,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-46304,46304,STIEBEL-HPA-O-4-CS-PLUS-INT,55,,,8760,,,,,-12.5,Q,,No continuous HPA-O 4 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-REF-OBS-2025-46304,46304,STIEBEL-HPA-O-8-CS-PLUS-INT,35,-15,7,8760,3113,0,5647,0.355365,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-46304,46304,STIEBEL-HPA-O-8-CS-PLUS-INT,45,-7,7,8760,3040,73,5647,0.347032,-12.5,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-46304,46304,STIEBEL-HPA-O-8-CS-PLUS-INT,55,,,8760,,,,,-12.5,Q,,No continuous HPA-O 8 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-REF-OBS-2025-52744,52744,STIEBEL-HPA-O-4-CS-PLUS-INT,35,-15,7,8760,3187,0,5573,0.363813,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-52744,52744,STIEBEL-HPA-O-4-CS-PLUS-INT,45,-7,7,8760,3132,55,5573,0.357534,-9.6,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-52744,52744,STIEBEL-HPA-O-4-CS-PLUS-INT,55,,,8760,,,,,-9.6,Q,,No continuous HPA-O 4 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-REF-OBS-2025-52744,52744,STIEBEL-HPA-O-8-CS-PLUS-INT,35,-15,7,8760,3187,0,5573,0.363813,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-52744,52744,STIEBEL-HPA-O-8-CS-PLUS-INT,45,-7,7,8760,3132,55,5573,0.357534,-9.6,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-52744,52744,STIEBEL-HPA-O-8-CS-PLUS-INT,55,,,8760,,,,,-9.6,Q,,No continuous HPA-O 8 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-EXTREME-OBSERVED-72H-15310,15310,STIEBEL-HPA-O-4-CS-PLUS-INT,35,-15,7,72,35,37,0,0.486111,-21.9,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-EXTREME-OBSERVED-72H-15310,15310,STIEBEL-HPA-O-4-CS-PLUS-INT,45,-7,7,72,9,63,0,0.125,-21.9,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-EXTREME-OBSERVED-72H-15310,15310,STIEBEL-HPA-O-4-CS-PLUS-INT,55,,,72,,,,,-21.9,Q,,No continuous HPA-O 4 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-EXTREME-OBSERVED-72H-15310,15310,STIEBEL-HPA-O-8-CS-PLUS-INT,35,-15,7,72,35,37,0,0.486111,-21.9,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-EXTREME-OBSERVED-72H-15310,15310,STIEBEL-HPA-O-8-CS-PLUS-INT,45,-7,7,72,9,63,0,0.125,-21.9,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-EXTREME-OBSERVED-72H-15310,15310,STIEBEL-HPA-O-8-CS-PLUS-INT,55,,,72,,,,,-21.9,Q,,No continuous HPA-O 8 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
