record_id,weather_profile_id,station_id,timestamp_utc,outdoor_temperature_C,temperature_source_variable,instantaneous_temperature_C,relative_humidity_pct,hourly_min_temperature_C,hourly_max_temperature_C,evidence_status,source_id,retrieved_at
B05-WX-00035,B05-REF-OBS-2025-15310,15310,2025-01-02T10:00:00Z,-2.2,ta,-1.2,92,-3.1,-1.2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00036,B05-REF-OBS-2025-15310,15310,2025-01-02T11:00:00Z,-0.5,ta,-0.2,94,-1.2,-0.2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00037,B05-REF-OBS-2025-15310,15310,2025-01-02T12:00:00Z,2.2,ta,4.3,96,-0.1,4.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00038,B05-REF-OBS-2025-15310,15310,2025-01-02T13:00:00Z,5.3,ta,6.9,70,4.3,6.9,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00039,B05-REF-OBS-2025-15310,15310,2025-01-02T14:00:00Z,7.2,ta,6.8,67,6.8,7.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00040,B05-REF-OBS-2025-15310,15310,2025-01-02T15:00:00Z,6.2,ta,5.9,70,5.7,6.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00041,B05-REF-OBS-2025-15310,15310,2025-01-02T16:00:00Z,4.6,ta,3.2,80,3.2,5.9,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00042,B05-REF-OBS-2025-15310,15310,2025-01-02T17:00:00Z,1.9,ta,1.4,85,1.3,3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00043,B05-REF-OBS-2025-15310,15310,2025-01-02T18:00:00Z,2.1,ta,2.7,85,1.2,2.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00044,B05-REF-OBS-2025-15310,15310,2025-01-02T19:00:00Z,2.5,ta,1.4,82,1.4,2.9,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00045,B05-REF-OBS-2025-15310,15310,2025-01-02T20:00:00Z,1.3,ta,1.8,86,1.1,1.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00046,B05-REF-OBS-2025-15310,15310,2025-01-02T21:00:00Z,1.5,ta,0.8,84,0.8,2.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00047,B05-REF-OBS-2025-15310,15310,2025-01-02T22:00:00Z,0,ta,-0.4,85,-0.4,0.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00048,B05-REF-OBS-2025-15310,15310,2025-01-02T23:00:00Z,-0.6,ta,-0.7,88,-0.7,-0.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00049,B05-REF-OBS-2025-15310,15310,2025-01-03T00:00:00Z,-0.1,ta,0.8,87,-0.6,0.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00050,B05-REF-OBS-2025-15310,15310,2025-01-03T01:00:00Z,1.6,ta,1.6,85,0.9,1.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00051,B05-REF-OBS-2025-15310,15310,2025-01-03T02:00:00Z,1.5,ta,1.7,86,1.3,1.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00052,B05-REF-OBS-2025-15310,15310,2025-01-03T03:00:00Z,1.8,ta,1.6,83,1.6,1.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00053,B05-REF-OBS-2025-15310,15310,2025-01-03T04:00:00Z,1.7,ta,2,79,1.5,2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00054,B05-REF-OBS-2025-15310,15310,2025-01-03T05:00:00Z,2.1,ta,2.1,75,1.9,2.2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00055,B05-REF-OBS-2025-15310,15310,2025-01-03T06:00:00Z,2,ta,1.7,76,1.7,2.2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00056,B05-REF-OBS-2025-15310,15310,2025-01-03T07:00:00Z,1.5,ta,1.1,76,1.1,1.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00057,B05-REF-OBS-2025-15310,15310,2025-01-03T08:00:00Z,1.1,ta,1.1,74,0.9,1.2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00058,B05-REF-OBS-2025-15310,15310,2025-01-03T09:00:00Z,1.2,ta,1.5,73,1,1.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00059,B05-REF-OBS-2025-15310,15310,2025-01-03T10:00:00Z,2.7,ta,3.8,61,1.5,3.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00060,B05-REF-OBS-2025-15310,15310,2025-01-03T11:00:00Z,4.8,ta,5.4,48,3.9,5.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00061,B05-REF-OBS-2025-15310,15310,2025-01-03T12:00:00Z,5.7,ta,5.3,47,5.3,6.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00062,B05-REF-OBS-2025-15310,15310,2025-01-03T13:00:00Z,5.7,ta,5.4,58,5.2,6.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00063,B05-REF-OBS-2025-15310,15310,2025-01-03T14:00:00Z,4.9,ta,4.7,61,4.5,5.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00064,B05-REF-OBS-2025-15310,15310,2025-01-03T15:00:00Z,4.5,ta,3.5,63,3.5,5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00065,B05-REF-OBS-2025-15310,15310,2025-01-03T16:00:00Z,2.9,ta,1.9,69,1.9,3.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00066,B05-REF-OBS-2025-15310,15310,2025-01-03T17:00:00Z,1,ta,0.1,76,0.1,1.9,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00067,B05-REF-OBS-2025-15310,15310,2025-01-03T18:00:00Z,-0.8,ta,-1.8,80,-1.8,0.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00068,B05-REF-OBS-2025-15310,15310,2025-01-03T19:00:00Z,-1.7,ta,-2.4,83,-2.5,-0.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00069,B05-REF-OBS-2025-15310,15310,2025-01-03T20:00:00Z,-2.5,ta,-3,85,-3,-2.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00070,B05-REF-OBS-2025-15310,15310,2025-01-03T21:00:00Z,-3,ta,-2.8,87,-3.2,-2.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00071,B05-REF-OBS-2025-15310,15310,2025-01-03T22:00:00Z,-3.1,ta,-3.3,87,-3.4,-2.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00072,B05-REF-OBS-2025-15310,15310,2025-01-03T23:00:00Z,-3.5,ta,-4.1,87,-4.3,-3.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00073,B05-REF-OBS-2025-15310,15310,2025-01-04T00:00:00Z,-3.4,ta,-3.6,85,-3.9,-3.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00074,B05-REF-OBS-2025-15310,15310,2025-01-04T01:00:00Z,-4.1,ta,-4.7,86,-4.7,-3.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00075,B05-REF-OBS-2025-15310,15310,2025-01-04T02:00:00Z,-4.7,ta,-4.9,85,-5,-4.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00076,B05-REF-OBS-2025-15310,15310,2025-01-04T03:00:00Z,-4.8,ta,-4.5,85,-5.1,-4.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00077,B05-REF-OBS-2025-15310,15310,2025-01-04T04:00:00Z,-4.2,ta,-4.2,83,-4.6,-4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00078,B05-REF-OBS-2025-15310,15310,2025-01-04T05:00:00Z,-4.4,ta,-4.1,83,-4.8,-4.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00079,B05-REF-OBS-2025-15310,15310,2025-01-04T06:00:00Z,-3.8,ta,-3.8,79,-4.2,-3.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00080,B05-REF-OBS-2025-15310,15310,2025-01-04T07:00:00Z,-3.9,ta,-3.5,81,-4.3,-3.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00081,B05-REF-OBS-2025-15310,15310,2025-01-04T08:00:00Z,-3.3,ta,-2.9,83,-3.5,-2.9,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00082,B05-REF-OBS-2025-15310,15310,2025-01-04T09:00:00Z,-2.3,ta,-1.9,81,-2.8,-1.9,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00083,B05-REF-OBS-2025-15310,15310,2025-01-04T10:00:00Z,-1.1,ta,-0.3,76,-1.9,-0.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00084,B05-REF-OBS-2025-15310,15310,2025-01-04T11:00:00Z,1.4,ta,2.6,61,-0.2,2.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00085,B05-REF-OBS-2025-15310,15310,2025-01-04T12:00:00Z,2.9,ta,3.1,54,2.5,3.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00086,B05-REF-OBS-2025-15310,15310,2025-01-04T13:00:00Z,3.3,ta,3.3,53,3.1,3.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00087,B05-REF-OBS-2025-15310,15310,2025-01-04T14:00:00Z,3.1,ta,2.6,55,2.6,3.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00088,B05-REF-OBS-2025-15310,15310,2025-01-04T15:00:00Z,1.7,ta,0.9,60,0.9,2.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00089,B05-REF-OBS-2025-15310,15310,2025-01-04T16:00:00Z,0.2,ta,0.3,65,0,0.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00090,B05-REF-OBS-2025-15310,15310,2025-01-04T17:00:00Z,-0.2,ta,-0.5,69,-0.7,0.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00091,B05-REF-OBS-2025-15310,15310,2025-01-04T18:00:00Z,-0.7,ta,-0.7,68,-1,-0.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00092,B05-REF-OBS-2025-15310,15310,2025-01-04T19:00:00Z,-1.3,ta,-1.6,76,-1.6,-0.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00093,B05-REF-OBS-2025-15310,15310,2025-01-04T20:00:00Z,-2.1,ta,-2.7,82,-2.7,-1.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00094,B05-REF-OBS-2025-15310,15310,2025-01-04T21:00:00Z,-2.8,ta,-2.8,84,-3.1,-2.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00095,B05-REF-OBS-2025-15310,15310,2025-01-04T22:00:00Z,-3,ta,-3.2,84,-3.2,-2.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00096,B05-REF-OBS-2025-15310,15310,2025-01-04T23:00:00Z,-3.3,ta,-3.2,84,-3.4,-3.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00097,B05-REF-OBS-2025-15310,15310,2025-01-05T00:00:00Z,-3.1,ta,-3,83,-3.2,-3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00098,B05-REF-OBS-2025-15310,15310,2025-01-05T01:00:00Z,-2.8,ta,-2.6,83,-3,-2.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00099,B05-REF-OBS-2025-15310,15310,2025-01-05T02:00:00Z,-2.4,ta,-2.3,83,-2.6,-2.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00100,B05-REF-OBS-2025-15310,15310,2025-01-05T03:00:00Z,-2.2,ta,-2.2,82,-2.3,-2.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00101,B05-REF-OBS-2025-15310,15310,2025-01-05T04:00:00Z,-2.1,ta,-2.1,82,-2.2,-2.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00102,B05-REF-OBS-2025-15310,15310,2025-01-05T05:00:00Z,-2.1,ta,-2.1,82,-2.1,-2.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00103,B05-REF-OBS-2025-15310,15310,2025-01-05T06:00:00Z,-2.1,ta,-2.1,82,-2.1,-2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00104,B05-REF-OBS-2025-15310,15310,2025-01-05T07:00:00Z,-2.1,ta,-2,82,-2.1,-2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00105,B05-REF-OBS-2025-15310,15310,2025-01-05T08:00:00Z,-1.9,ta,-1.6,82,-2,-1.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00106,B05-REF-OBS-2025-15310,15310,2025-01-05T09:00:00Z,-1.5,ta,-1.3,81,-1.7,-1.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00107,B05-REF-OBS-2025-15310,15310,2025-01-05T10:00:00Z,-1,ta,-0.5,78,-1.3,-0.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00108,B05-REF-OBS-2025-15310,15310,2025-01-05T11:00:00Z,0.1,ta,0.5,75,-0.5,0.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00109,B05-REF-OBS-2025-15310,15310,2025-01-05T12:00:00Z,1,ta,1.8,73,0.5,1.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00110,B05-REF-OBS-2025-15310,15310,2025-01-05T13:00:00Z,2,ta,2.3,72,1.8,2.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00111,B05-REF-OBS-2025-15310,15310,2025-01-05T14:00:00Z,2.6,ta,2.9,71,2.3,3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00112,B05-REF-OBS-2025-15310,15310,2025-01-05T15:00:00Z,2.9,ta,2.9,72,2.8,3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00113,B05-REF-OBS-2025-15310,15310,2025-01-05T16:00:00Z,2.7,ta,2.4,73,2.4,2.9,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00114,B05-REF-OBS-2025-15310,15310,2025-01-05T17:00:00Z,2.2,ta,2,73,2,2.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00115,B05-REF-OBS-2025-15310,15310,2025-01-05T18:00:00Z,1.9,ta,1.9,74,1.6,2.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00116,B05-REF-OBS-2025-15310,15310,2025-01-05T19:00:00Z,2.3,ta,2.7,67,1.9,2.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00117,B05-REF-OBS-2025-15310,15310,2025-01-05T20:00:00Z,3,ta,3.1,65,2.8,3.2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00118,B05-REF-OBS-2025-15310,15310,2025-01-05T21:00:00Z,3.5,ta,4.3,67,3.1,4.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00119,B05-REF-OBS-2025-15310,15310,2025-01-05T22:00:00Z,5,ta,5.2,69,4.4,5.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00120,B05-REF-OBS-2025-15310,15310,2025-01-05T23:00:00Z,5.5,ta,6,71,5.1,6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00121,B05-REF-OBS-2025-15310,15310,2025-01-06T00:00:00Z,6.1,ta,6.4,70,5.9,6.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00122,B05-REF-OBS-2025-15310,15310,2025-01-06T01:00:00Z,6.2,ta,5.9,71,5.6,6.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00123,B05-REF-OBS-2025-15310,15310,2025-01-06T02:00:00Z,5.9,ta,6.1,71,5.5,6.2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00124,B05-REF-OBS-2025-15310,15310,2025-01-06T03:00:00Z,5.7,ta,5.7,74,5.5,6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00125,B05-REF-OBS-2025-15310,15310,2025-01-06T04:00:00Z,7.2,ta,7.8,70,5.7,8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00126,B05-REF-OBS-2025-15310,15310,2025-01-06T05:00:00Z,7.9,ta,8.3,70,7.7,8.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00127,B05-REF-OBS-2025-15310,15310,2025-01-06T06:00:00Z,8.5,ta,9.1,68,8.2,9.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00128,B05-REF-OBS-2025-15310,15310,2025-01-06T07:00:00Z,9.3,ta,9.5,68,9.1,9.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00129,B05-REF-OBS-2025-15310,15310,2025-01-06T08:00:00Z,9.9,ta,10.3,67,9.5,10.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00130,B05-REF-OBS-2025-15310,15310,2025-01-06T09:00:00Z,10.8,ta,11.4,63,10.3,11.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00131,B05-REF-OBS-2025-15310,15310,2025-01-06T10:00:00Z,11.8,ta,12.1,61,11.3,12.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00132,B05-REF-OBS-2025-15310,15310,2025-01-06T11:00:00Z,12.2,ta,12.5,59,12,12.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00133,B05-REF-OBS-2025-15310,15310,2025-01-06T12:00:00Z,12.5,ta,12.6,57,12.3,12.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
