cell_id,projection_id,source_id,dataset_id,dataflow_id,source_version,reference_year,county_code,county_name_hu,settlement_type_code,settlement_type_name_hu,occupancy_code,construction_period_code,construction_period_name_hu,wall_material_code,wall_material_name_hu,floor_area_code,floor_area_name_hu,comfort_code,comfort_name_hu,heating_mode_code,heating_mode_name_hu,heating_fuel_code,heating_fuel_name_hu,combined_heating_fuel_code,combined_heating_fuel_name_hu,heat_pump_code,heat_pump_name_hu,dwelling_count,ksh_observation_status,evidence_status,availability_status,frequency_band,query_id,retrieved_at
WBLCELL-B02-ENV-000011,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM40-49,40–49 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,160,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000012,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM40-49,40–49 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,32,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000013,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM50-59,50–59 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,7156,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000014,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM50-59,50–59 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,4572,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000015,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM50-59,50–59 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,88,,OBS,RETURNED_POSITIVE,COUNT_50_99,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000016,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM50-59,50–59 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,17,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000017,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM60-79,60–79 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,15104,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000018,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM60-79,60–79 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,5543,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000019,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM60-79,60–79 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,60,,OBS,RETURNED_POSITIVE,COUNT_50_99,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000020,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM60-79,60–79 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,14,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000021,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM80-99,80–99 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,12353,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000022,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM80-99,80–99 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,2559,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000023,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM80-99,80–99 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,22,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000024,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM80-99,80–99 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,6,,OBS,RETURNED_POSITIVE,COUNT_5_9,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000025,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM_GE120,120 m² vagy nagyobb,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,7489,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000026,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM_GE120,120 m² vagy nagyobb,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,611,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000027,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM_GE120,120 m² vagy nagyobb,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,5,,OBS,RETURNED_POSITIVE,COUNT_5_9,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000028,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM_LT30,30 m²-nél kisebb,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,1870,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000029,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM_LT30,30 m²-nél kisebb,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,4747,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000030,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM_LT30,30 m²-nél kisebb,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,456,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000031,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM_LT30,30 m²-nél kisebb,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,152,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000032,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM_LT30,30 m²-nél kisebb,COMF5,Szükség- vagy egyéb lakás,TOTAL,Összesen,TOTAL,Összesen,,,,,496,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000033,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM100-119,100–119 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,49,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000034,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM100-119,100–119 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,28,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000035,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM100-119,100–119 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,1,,OBS,RETURNED_POSITIVE,COUNT_1,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000036,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM30-39,30–39 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,21,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000037,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM30-39,30–39 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,49,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000038,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM30-39,30–39 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,3,,OBS,RETURNED_POSITIVE,COUNT_2_4,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000039,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM30-39,30–39 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,7,,OBS,RETURNED_POSITIVE,COUNT_5_9,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000040,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM30-39,30–39 m²,COMF5,Szükség- vagy egyéb lakás,TOTAL,Összesen,TOTAL,Összesen,,,,,2,,OBS,RETURNED_POSITIVE,COUNT_2_4,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000041,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM40-49,40–49 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,49,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000042,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM40-49,40–49 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,69,,OBS,RETURNED_POSITIVE,COUNT_50_99,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000043,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM40-49,40–49 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,4,,OBS,RETURNED_POSITIVE,COUNT_2_4,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000044,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM40-49,40–49 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,6,,OBS,RETURNED_POSITIVE,COUNT_5_9,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000045,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM50-59,50–59 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,60,,OBS,RETURNED_POSITIVE,COUNT_50_99,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000046,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM50-59,50–59 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,87,,OBS,RETURNED_POSITIVE,COUNT_50_99,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000047,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM50-59,50–59 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,3,,OBS,RETURNED_POSITIVE,COUNT_2_4,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000048,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM50-59,50–59 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,4,,OBS,RETURNED_POSITIVE,COUNT_2_4,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000049,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM60-79,60–79 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,130,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000050,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM60-79,60–79 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,101,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000051,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM60-79,60–79 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,1,,OBS,RETURNED_POSITIVE,COUNT_1,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000052,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM60-79,60–79 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,3,,OBS,RETURNED_POSITIVE,COUNT_2_4,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000053,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM80-99,80–99 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,114,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000054,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM80-99,80–99 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,35,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000055,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL5,"Vályog, sár falazat",SQM80-99,80–99 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,1,,OBS,RETURNED_POSITIVE,COUNT_1,KSH-ENV-HU110,2026-08-12
