type_id,building_group,dwelling_count_model,construction_start_year,construction_end_year,size_class,wall_technology,occupants_per_dwelling,storeys,ceiling_height_m,bbox_x_m,bbox_y_m,total_floor_area_m2,heated_floor_area_m2,heated_floor_area_per_dwelling_m2,max_usable_roof_area_m2,evidence_status,source_id,allowed_use,notes
11,FAMILY_HOUSE,1,2006,,LT120,BRICK_STONE_HAND_MASONRY,3.91,1,2.7,15.4,9.6,161.1,108.2,108.2,12,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"2006+ small family/row house."
12,FAMILY_HOUSE,1,2006,,GE120,BRICK_STONE_HAND_MASONRY,3.91,2,2.7,18.5,11.9,269.4,233.8,233.8,18,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"2006+ large family/row house."
13,MULTI_DWELLING,6,,1944,SMALL_4_9,BRICK_STONE_HAND_MASONRY,2.39,3,3.1,21.6,13.6,681.2,524.1,87.35,16,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"Small multifamily 4-9 dwellings; pre-1945."
14,MULTI_DWELLING,6,1945,1989,SMALL_4_9,BRICK_STONE_HAND_MASONRY,2.39,3,2.8,22.5,11.4,631.7,466.4,77.7333333333,27,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"Small multifamily 4-9 dwellings; 1945-1989."
15,MULTI_DWELLING,6,1990,2005,SMALL_4_9,BRICK_STONE_HAND_MASONRY,3.02,3,2.8,23.8,14.9,611.2,459.9,76.65,18,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"Small multifamily 4-9 dwellings; 1990-2005."
16,MULTI_DWELLING,6,2006,,SMALL_4_9,BRICK_STONE_HAND_MASONRY,3.02,3,2.7,21.8,15.3,634.5,523.1,87.1833333333,12,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"Small multifamily 4-9 dwellings; 2006+."
17,MULTI_DWELLING,33,,1944,LARGE_10_PLUS,BRICK_STONE_HAND_MASONRY,1.95,5,3.1,33.6,21.3,3264.4,2373.8,71.9333333333,18,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"Large multifamily 10+ dwellings; pre-1945 conventional."
18,MULTI_DWELLING,31,1945,1989,LARGE_10_PLUS,BRICK_STONE_HAND_MASONRY,2.10,4,2.8,45,14.7,2252.7,1717.6,55.4064516129,58,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"Large multifamily 10+ dwellings; 1945-1989 conventional."
19,MULTI_DWELLING,36,1945,1979,LARGE_10_PLUS,MEDIUM_OR_LARGE_BLOCK_CAST_CONCRETE,2.31,5,2.65,40.8,13.5,2357.4,1974.2,54.8388888889,58,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"6.3 illustration places other industrial type 19 in 1945-1979."
20,MULTI_DWELLING,76,1960,1979,LARGE_10_PLUS,PANEL,2.23,8,2.65,46,16.4,6029.3,5513.5,72.5460526316,67,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"6.3 illustration places panel type 20 in 1960-1979; 6.1 gives panel through 1979."
21,MULTI_DWELLING,52,1980,1989,LARGE_10_PLUS,PANEL,2.35,6,2.65,43.3,15.4,3467.7,3058.6,58.8192307692,59,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"1980-1989 panel."
22,MULTI_DWELLING,27,1990,2005,LARGE_10_PLUS,BRICK_STONE_HAND_MASONRY,2.64,4,2.8,35.5,19.3,2055,1971.4,73.0148148148,21,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"1990-2005 large multifamily conventional."
23,MULTI_DWELLING,49,2006,,LARGE_10_PLUS,BRICK_STONE_HAND_MASONRY,2.64,5,2.7,41.2,24.7,3333.2,2963.1,60.4714285714,27,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"2006+ large multifamily conventional."
