anchor_id,city_name,design_outdoor_temperature_c,zone_class,evidence_status,source_ids,allowed_use,forbidden_use,notes
B02-P86-A11,Szeged,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Szeged in the -11 C zone."
B02-P86-A12,Szolnok,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Szolnok in the -11 C zone."
B02-P86-A13,Szombathely,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Szombathely in the -11 C zone."
B02-P86-A14,Tatabánya,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Tatabánya in the -11 C zone."
B02-P86-A15,Zalaegerszeg,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Zalaegerszeg in the -11 C zone."
B02-P86-A16,Kaposvár,-10,CURRENT_STANDARD_ZONE_MINUS10,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Kaposvár in the -10 C zone."
B02-P86-A17,Pécs,-10,CURRENT_STANDARD_ZONE_MINUS10,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Pécs in the -10 C zone."
B02-P86-A18,Székesfehérvár,-10,CURRENT_STANDARD_ZONE_MINUS10,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Székesfehérvár in the -10 C zone."
B02-P86-A19,Szekszárd,-10,CURRENT_STANDARD_ZONE_MINUS10,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Szekszárd in the -10 C zone."
B02-P86-A20,Veszprém,-10,CURRENT_STANDARD_ZONE_MINUS10,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Veszprém in the -10 C zone."
